,price,Commune,rank_city_pr,house_area,number_of_rooms,terrace,terrace_area,fully_equipped_kitchen,open_fire,SB_as new,SB_just renovated,SB_good,SB_to be done up,SB_to renovate,SB_to restore
0,45000,LIÈGE,84.0,47.0,1,1,2.0,0,0,0,0,1,0,0,0
1,25000,LIÈGE,84.0,125.0,1,1,8.0,1,1,1,0,0,0,0,0
2,25000,LIÈGE,84.0,142.0,3,1,4.0,1,0,1,0,0,0,0,0
3,20000,COURCELLES,41.0,115.0,1,0,0.0,1,0,0,0,1,0,0,0
4,50000,SCHAERBEEK,404.0,96.0,2,0,0.0,1,0,0,0,1,0,0,0
5,50000,BRASSCHAAT,529.0,83.0,2,1,,1,0,0,0,0,0,0,0
6,49500,DE HAAN,258.0,31.0,1,0,0.0,0,0,0,0,1,0,0,0
7,30000,FRAMERIES,10.0,144.0,1,0,0.0,1,0,0,0,0,0,1,0
8,50000,BOUSSU,16.0,49.0,1,0,0.0,1,0,0,0,0,0,0,0
9,49000,NAMUR,259.0,42.0,1,1,5.0,0,0,0,0,1,0,0,0
10,50000,MOLENBEEK-SAINT-JEAN,239.0,125.0,2,1,,0,0,0,0,1,0,0,0
11,50000,NAMUR,259.0,31.0,1,0,0.0,0,0,1,0,0,0,0,0
12,40000,JEMEPPE-SUR-SAMBRE,76.0,78.0,2,0,0.0,1,0,0,0,0,0,0,0
13,40000,FOSSES-LA-VILLE,116.0,55.0,1,0,0.0,1,0,0,0,0,1,0,0
14,50000,RIXENSART,568.0,126.0,2,0,0.0,0,0,1,0,0,0,0,0
15,50000,DE PANNE,118.0,62.0,2,0,0.0,1,0,0,0,1,0,0,0
16,25000,SCHAERBEEK,404.0,84.0,2,0,0.0,0,0,0,0,1,0,0,0
17,30000,LIÈGE,84.0,81.0,2,0,0.0,0,0,0,0,1,0,0,0
18,50000,VRESSE-SUR-SEMOIS,81.0,36.0,2,1,18.0,1,0,0,0,0,0,0,0
19,30000,SCHAERBEEK,404.0,110.0,2,0,0.0,1,0,0,0,0,0,0,0
20,2500,NIVELLES,285.0,90.0,3,1,4.0,1,0,1,0,0,0,0,0
21,14500,ETALLE,371.0,28.0,1,0,0.0,1,0,0,0,1,0,0,0
22,50000,WATERLOO,558.0,132.0,3,0,0.0,0,0,1,0,0,0,0,0
23,25000,OOSTENDE,167.0,72.0,2,1,5.0,1,0,0,0,1,0,0,0
24,40000,EVERGEM,391.0,102.0,1,0,0.0,1,0,1,0,0,0,0,0
25,50000,CHARLEROI,19.0,45.0,1,1,3.0,1,0,0,0,0,0,0,0
26,45000,HOTTON,51.0,43.0,1,0,0.0,1,0,0,0,0,0,0,0
27,20000,KNOKKE-HEIST,570.0,42.0,0,0,0.0,0,0,0,0,0,0,1,0
28,28000,LIÈGE,84.0,25.0,2,0,0.0,0,0,0,0,0,0,0,0
29,40000,ROCHEFORT,113.0,22.0,1,1,18.0,1,0,0,0,0,0,0,0
30,8160,AALST,228.0,100.0,2,0,0.0,1,0,0,0,1,0,0,0
31,6600,AALST,228.0,100.0,3,0,0.0,0,0,0,0,1,0,0,0
32,85000,OOSTENDE,167.0,29.0,0,1,4.0,1,0,0,0,0,1,0,0
33,85000,LIÈGE,84.0,60.0,1,0,0.0,1,0,0,0,0,0,1,0
34,90000,CHARLEROI,19.0,60.0,1,0,0.0,1,0,0,0,1,0,0,0
35,85000,OOSTENDE,167.0,40.0,0,0,0.0,1,0,0,0,0,1,0,0
36,89000,OOSTENDE,167.0,27.0,0,1,4.0,1,0,0,0,1,0,0,0
37,99000,ANDENNE,100.0,45.0,1,1,2.0,1,0,1,0,0,0,0,0
38,89000,MIDDELKERKE,72.0,28.0,0,1,,0,0,0,0,1,0,0,0
39,87500,MOLENBEEK-SAINT-JEAN,239.0,42.0,1,0,0.0,1,0,0,0,1,0,0,0
40,75000,CHARLEROI,19.0,65.0,2,1,,1,0,0,0,0,1,0,0
41,85000,ANDERLECHT,283.0,20.0,0,0,0.0,1,0,0,0,1,0,0,0
42,94950,DE PANNE,118.0,30.0,1,1,6.0,1,0,0,0,1,0,0,0
43,95000,DE PANNE,118.0,30.0,1,1,6.0,1,0,0,0,1,0,0,0
44,98000,MIDDELKERKE,72.0,28.0,1,0,0.0,1,0,0,0,1,0,0,0
45,90000,CHARLEROI,19.0,82.0,2,1,,1,0,0,0,0,0,1,0
46,59500,MIDDELKERKE,72.0,24.0,0,1,,1,0,0,0,1,0,0,0
47,70000,CHARLEROI,19.0,45.0,1,0,0.0,0,0,0,0,1,0,0,0
48,75000,KOKSIJDE,324.0,34.0,0,0,0.0,0,0,0,0,1,0,0,0
49,89000,MIDDELKERKE,72.0,28.0,0,1,,0,0,0,0,1,0,0,0
50,94000,MIDDELKERKE,72.0,33.0,1,1,,0,0,0,0,1,0,0,0
51,99000,BRUXELLES,494.0,30.0,0,1,2.0,1,0,0,0,0,1,0,0
52,79500,LIÈGE,84.0,36.0,0,0,0.0,1,0,0,0,0,1,0,0
53,85000,GRIMBERGEN,436.0,34.0,1,0,0.0,0,0,0,0,1,0,0,0
54,95000,BLANKENBERGE,153.0,50.0,2,0,0.0,1,0,0,0,1,0,0,0
55,99000,HUY,86.0,210.0,3,0,0.0,1,0,0,0,0,0,1,0
56,99000,CHARLEROI,19.0,91.0,2,0,0.0,1,0,0,0,0,1,0,0
57,63000,MIDDELKERKE,72.0,25.0,0,0,0.0,0,0,0,0,1,0,0,0
58,85000,LIÈGE,84.0,30.0,0,0,0.0,1,0,0,0,1,0,0,0
59,91000,MIDDELKERKE,72.0,35.0,2,0,0.0,0,0,0,0,0,0,0,0
60,58000,MIDDELKERKE,72.0,21.0,0,1,,0,0,0,0,0,1,0,0
61,69000,CHARLEROI,19.0,75.0,2,0,0.0,1,0,0,0,0,1,0,0
62,79500,KOKSIJDE,324.0,42.0,1,0,0.0,0,0,0,0,1,0,0,0
63,90000,CHARLEROI,19.0,75.0,2,0,0.0,1,0,0,0,1,0,0,0
64,95000,LA ROCHE-EN-ARDENNE,70.0,60.0,2,0,0.0,1,0,1,0,0,0,0,0
65,95000,MIDDELKERKE,72.0,42.0,0,0,0.0,0,0,0,0,1,0,0,0
66,99000,MIDDELKERKE,72.0,39.0,1,1,5.0,1,0,0,0,1,0,0,0
67,99500,LIÈGE,84.0,49.0,1,1,21.0,1,0,0,0,1,0,0,0
68,75000,CHARLEROI,19.0,70.0,2,1,8.0,1,0,0,0,1,0,0,0
69,85000,SIVRY-RANCE,22.0,80.0,1,0,0.0,1,0,0,0,1,0,0,0
70,99000,CINEY,79.0,68.0,2,1,,1,0,0,0,1,0,0,0
71,99900,LIÈGE,84.0,42.0,1,0,0.0,1,0,0,0,1,0,0,0
72,55000,MIDDELKERKE,72.0,23.0,1,1,4.0,1,0,0,0,1,0,0,0
73,70000,LIÈGE,84.0,80.0,2,1,9.0,1,0,0,0,0,0,0,0
74,94000,GRIMBERGEN,436.0,29.0,1,0,0.0,0,0,0,0,1,0,0,0
75,97000,MIDDELKERKE,72.0,55.0,1,0,0.0,0,0,0,0,0,0,0,0
76,99999,MOLENBEEK-SAINT-JEAN,239.0,42.0,0,1,7.0,1,0,0,0,0,1,0,0
77,80000,CHARLEROI,19.0,70.0,2,1,10.0,1,0,0,0,1,0,0,0
78,99000,MIDDELKERKE,72.0,40.0,1,1,,1,0,1,0,0,0,0,0
79,70000,TONGEREN,201.0,68.0,2,1,6.0,0,0,0,0,0,1,0,0
80,95000,GRIMBERGEN,436.0,34.0,1,0,0.0,0,0,0,0,1,0,0,0
81,95000,NAMUR,259.0,50.0,1,1,16.0,1,1,0,0,1,0,0,0
82,69000,HUY,86.0,35.0,1,0,0.0,1,0,1,0,0,0,0,0
83,70000,MONS,40.0,48.0,1,0,0.0,1,0,0,1,0,0,0,0
84,89900,HUY,86.0,90.0,2,0,0.0,1,0,0,0,0,0,1,0
85,100000,LIÈGE,84.0,65.0,1,0,0.0,1,0,0,0,1,0,0,0
86,80000,LIÈGE,84.0,45.0,0,0,0.0,1,0,0,0,1,0,0,0
87,85000,MIDDELKERKE,72.0,34.0,0,0,0.0,0,0,0,0,1,0,0,0
88,98000,BOUSSU,16.0,70.0,2,0,0.0,1,0,0,0,1,0,0,0
89,99000,LIÈGE,84.0,29.0,1,1,12.0,1,0,0,0,0,1,0,0
90,99900,CHARLEROI,19.0,76.0,2,0,0.0,1,0,0,0,1,0,0,0
91,99000,BREDENE,114.0,28.0,1,0,0.0,0,0,0,0,1,0,0,0
92,92000,KOKSIJDE,324.0,35.0,0,0,0.0,1,0,0,0,1,0,0,0
93,99000,MONS,40.0,75.0,2,1,3.0,1,0,0,0,1,0,0,0
94,79000,MIDDELKERKE,72.0,23.0,0,1,4.0,1,0,1,0,0,0,0,0
95,72000,CHARLEROI,19.0,77.0,2,0,0.0,1,0,0,0,0,0,0,0
96,100000,LUBBEEK,476.0,84.0,2,0,0.0,1,0,0,0,0,0,0,0
97,99000,MIDDELKERKE,72.0,50.0,1,0,0.0,0,0,0,0,0,0,0,0
98,100000,LIÈGE,84.0,60.0,1,0,0.0,1,0,0,0,1,0,0,0
99,60000,MOLENBEEK-SAINT-JEAN,239.0,77.0,2,1,6.0,1,0,0,0,0,1,0,0
100,85000,LIÈGE,84.0,82.0,1,0,0.0,1,0,0,0,1,0,0,0
101,67000,MIDDELKERKE,72.0,30.0,0,0,0.0,1,0,1,0,0,0,0,0
102,85000,GRIMBERGEN,436.0,33.0,1,1,3.0,0,0,0,0,1,0,0,0
103,95000,BLANKENBERGE,153.0,30.0,1,0,0.0,1,0,0,0,1,0,0,0
104,97000,ANTWERPEN,335.0,21.0,0,0,0.0,1,0,0,1,0,0,0,0
105,99000,OOSTENDE,167.0,40.0,0,0,0.0,1,0,0,0,0,0,0,0
106,94000,MONS,40.0,41.0,1,1,20.0,0,0,0,0,0,0,0,0
107,100000,LA LOUVIÈRE,37.0,85.0,2,0,0.0,1,0,0,1,0,0,0,0
108,73000,MIDDELKERKE,72.0,18.0,0,0,0.0,1,0,0,0,1,0,0,0
109,75000,MIDDELKERKE,72.0,25.0,0,0,0.0,1,0,0,0,0,0,0,0
110,99000,ENGIS,23.0,93.0,2,0,0.0,0,0,0,0,0,1,0,0
111,85000,LIÈGE,84.0,38.0,0,1,4.0,1,0,0,0,1,0,0,0
112,79000,CINEY,79.0,35.0,1,1,1.0,0,0,0,0,1,0,0,0
113,89000,CHARLEROI,19.0,100.0,2,1,10.0,1,0,1,0,0,0,0,0
114,95000,ANTWERPEN,335.0,30.0,0,1,5.0,1,0,0,0,0,0,1,0
115,90000,MORLANWELZ,34.0,109.0,0,0,0.0,0,0,0,0,0,0,1,0
116,77000,DE HAAN,258.0,40.0,1,0,0.0,0,0,0,0,1,0,0,0
117,100000,HUY,86.0,76.0,2,0,0.0,1,0,0,0,1,0,0,0
118,75000,LIÈGE,84.0,54.0,1,0,0.0,0,0,0,0,1,0,0,0
119,69000,ANDERLECHT,283.0,75.0,1,0,0.0,1,0,0,0,0,0,0,0
120,65000,ANTWERPEN,335.0,72.0,1,1,,1,0,0,0,1,0,0,0
121,79000,HUY,86.0,40.0,1,0,0.0,1,0,0,0,0,0,0,0
122,100000,HASTIÈRE,14.0,55.0,1,1,20.0,0,0,0,1,0,0,0,0
123,63000,OOSTENDE,167.0,91.0,2,0,0.0,1,0,0,0,1,0,0,0
124,75000,MIDDELKERKE,72.0,26.0,0,1,,0,0,0,0,1,0,0,0
125,90000,DE HAAN,258.0,50.0,2,1,7.0,1,0,0,0,1,0,0,0
126,94000,MIDDELKERKE,72.0,40.0,1,0,0.0,1,0,0,0,1,0,0,0
127,75000,CHARLEROI,19.0,37.0,1,0,0.0,0,0,0,0,0,1,0,0
128,90000,DINANT,138.0,38.0,1,0,0.0,0,0,0,0,0,1,0,0
129,95000,COLFONTAINE,5.0,100.0,2,0,0.0,0,0,1,0,0,0,0,0
130,100000,ERQUELINNES,15.0,70.0,1,1,,1,0,0,0,1,0,0,0
131,100000,BLANKENBERGE,153.0,25.0,0,0,0.0,0,0,0,0,0,0,0,0
132,89000,MIDDELKERKE,72.0,18.0,0,1,9.0,0,0,0,0,0,0,0,0
133,85000,DE HAAN,258.0,46.0,2,0,0.0,1,0,0,0,1,0,0,0
134,55000,NIVELLES,285.0,22.0,0,0,0.0,1,0,0,0,0,0,0,0
135,60000,GENT,496.0,80.0,2,1,,1,0,0,0,0,0,0,0
136,75000,BINCHE,33.0,123.0,2,1,,1,0,0,0,0,0,1,0
137,75000,CHARLEROI,19.0,38.0,1,0,0.0,0,0,0,0,0,0,0,0
138,99000,ANDERLECHT,283.0,35.0,0,0,0.0,1,0,1,0,0,0,0,0
139,95000,MIDDELKERKE,72.0,58.0,2,0,0.0,1,0,0,0,0,0,0,0
140,69000,DENDERMONDE,243.0,85.0,2,1,,0,0,0,0,0,0,1,0
141,72500,CHARLEROI,19.0,52.0,1,0,0.0,0,0,0,0,1,0,0,0
142,85000,TOURNAI,282.0,65.0,1,0,0.0,1,0,0,0,0,0,0,1
143,99000,CHARLEROI,19.0,152.0,0,0,0.0,1,0,0,0,0,0,0,0
144,89000,MIDDELKERKE,72.0,38.0,1,1,7.0,0,0,0,0,0,0,0,0
145,85000,ANDENNE,100.0,45.0,1,0,0.0,1,0,0,0,0,0,1,0
146,65000,MIDDELKERKE,72.0,25.0,0,1,4.0,1,0,1,0,0,0,0,0
147,95000,MIDDELKERKE,72.0,40.0,0,0,0.0,0,0,0,0,0,0,0,0
148,89000,BLANKENBERGE,153.0,50.0,1,0,0.0,0,0,0,0,0,1,0,0
149,90000,MIDDELKERKE,72.0,38.0,0,1,,0,0,0,0,0,0,0,0
150,69500,FONTAINE-L'EVÊQUE,50.0,56.0,1,1,,0,0,0,0,1,0,0,0
151,85000,MIDDELKERKE,72.0,30.0,0,1,,0,0,0,0,0,0,0,0
152,99000,OOSTENDE,167.0,67.0,1,0,0.0,0,0,0,0,1,0,0,0
153,64500,CHARLEROI,19.0,55.0,1,0,0.0,0,0,0,0,1,0,0,0
154,79500,CHARLEROI,19.0,97.0,2,0,0.0,0,0,0,0,1,0,0,0
155,85000,FRAMERIES,10.0,55.0,0,1,10.0,1,0,0,0,0,0,0,0
156,85000,ANDERLUES,32.0,250.0,0,0,0.0,0,0,0,0,0,0,1,0
157,79500,ROCHEFORT,113.0,40.0,1,1,12.0,0,0,0,0,1,0,0,0
158,99000,KORTRIJK,353.0,22.0,1,0,0.0,0,0,0,0,0,0,0,0
159,82500,ROESELARE,250.0,75.0,2,0,0.0,0,0,0,0,0,0,0,0
